empty_count,longitude,latitude
10,30.524547100067142,50.450386085935094
11,30.524547100067142,50.450386085935094
13,30.524547100067142,50.450386085935094
15,30.524547100067142,50.450386085935094
7,30.524547100067142,50.450386085935094
9,30.524547100067142,50.450386085935094
4,30.524547100067142,50.450386085935094
0,30.524547100067142,50.450386085935094
0,30.524547100067142,50.450386085935094
3,30.524547100067142,50.450386085935094
4,30.524547100067142,50.450386085935094
16,30.52406822530458,50.450069433207545
20,30.52406822530458,50.450069433207545
25,30.52406822530458,50.450069433207545
30,30.52406822530458,50.450069433207545
29,30.52406822530458,50.450069433207545
12,30.52406822530458,50.450069433207545
10,30.52406822530458,50.450069433207545
14,30.52406822530458,50.450069433207545
3,30.52406822530458,50.450069433207545
2,30.52406822530458,50.450069433207545
